policy_num,base_policy,day_claimed,week_claimed,month_claimed,deductible,days_policy_claim,past_num_claims,address_change_claim,agent_type,rep_num,is_fraud,age,sex,age_group,num_cars,vehicle_age,vehicle_category,vehicle_price,make,accident_area,fault,witness_present,police_report_filed
45,collision,wednesday,4,jan,400,more than 30,none,no change,external,16,0,72,male,over 65,1 vehicle,> 7 years,sedan,20000 to 29000,toyota,urban,third party,no,no
46,all perils,thursday,2,feb,400,more than 30,2 to 4,no change,external,8,0,29,female,31 to 35,1 vehicle,5 years,sedan,less than 20000,pontiac,urban,third party,no,no
47,collision,monday,3,feb,400,more than 30,none,no change,internal,9,0,32,male,31 to 35,1 vehicle,6 years,sedan,30000 to 39000,pontiac,urban,third party,no,no
48,liability,friday,4,nov,400,more than 30,2 to 4,no change,external,13,0,37,male,36 to 40,1 vehicle,5 years,sport,30000 to 39000,mazda,urban,policy holder,no,no
49,liability,thursday,1,may,400,more than 30,2 to 4,no change,external,10,0,37,female,36 to 40,1 vehicle,6 years,sport,more than 69000,chevrolet,urban,policy holder,no,no
50,collision,tuesday,3,apr,400,more than 30,more than 4,no change,external,9,0,59,male,51 to 65,1 vehicle,> 7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
51,liability,friday,4,may,400,more than 30,more than 4,no change,external,14,0,49,male,41 to 50,1 vehicle,> 7 years,sport,30000 to 39000,pontiac,urban,policy holder,no,no
52,liability,friday,4,jun,500,more than 30,2 to 4,2 to 3 years,external,4,0,27,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
53,collision,wednesday,4,jan,400,more than 30,none,no change,external,4,1,21,male,26 to 30,1 vehicle,4 years,sport,more than 69000,honda,rural,policy holder,no,no
54,collision,wednesday,2,aug,400,more than 30,none,no change,external,13,1,50,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
55,collision,tuesday,4,jun,400,more than 30,1,no change,external,8,0,45,male,36 to 40,1 vehicle,7 years,sedan,30000 to 39000,pontiac,urban,policy holder,no,no
56,all perils,wednesday,3,dec,400,more than 30,none,no change,external,7,0,49,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,mazda,urban,third party,no,no
57,all perils,thursday,5,jun,400,more than 30,2 to 4,no change,external,5,0,30,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
58,collision,monday,2,nov,400,more than 30,2 to 4,no change,external,11,0,37,male,36 to 40,1 vehicle,7 years,sedan,more than 69000,acura,urban,policy holder,no,no
59,liability,wednesday,4,may,400,more than 30,none,no change,external,15,0,39,male,16 to 17,1 vehicle,<= 1 year,sport,more than 69000,honda,rural,policy holder,no,no
60,collision,monday,2,may,400,more than 30,none,no change,external,4,0,27,female,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,chevrolet,urban,policy holder,no,no
61,all perils,monday,3,nov,400,more than 30,none,no change,external,5,0,30,male,31 to 35,1 vehicle,5 years,sedan,30000 to 39000,toyota,urban,policy holder,no,no
62,collision,friday,4,jan,400,more than 30,none,no change,external,6,0,49,male,41 to 50,1 vehicle,> 7 years,utility,40000 to 59000,pontiac,urban,policy holder,no,no
63,all perils,friday,3,jan,400,more than 30,2 to 4,no change,external,3,0,39,male,16 to 17,1 vehicle,<= 1 year,sedan,more than 69000,honda,urban,third party,no,no
64,liability,tuesday,1,mar,400,more than 30,2 to 4,4 to 8 years,external,13,0,26,male,31 to 35,2 vehicles,7 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
65,collision,tuesday,2,dec,400,more than 30,none,no change,external,1,0,48,male,41 to 50,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
66,all perils,monday,2,jan,400,more than 30,none,no change,external,6,0,31,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,mazda,urban,policy holder,no,no
67,collision,friday,3,mar,400,more than 30,1,no change,external,16,0,40,male,36 to 40,1 vehicle,7 years,sedan,more than 69000,mercury,urban,third party,no,no
68,liability,monday,5,aug,400,more than 30,2 to 4,no change,external,12,0,65,male,51 to 65,1 vehicle,> 7 years,sport,30000 to 39000,mazda,urban,policy holder,no,no
69,collision,tuesday,1,jan,400,more than 30,1,no change,external,5,0,64,male,51 to 65,1 vehicle,> 7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
70,liability,wednesday,1,jan,400,more than 30,2 to 4,no change,external,12,0,55,male,41 to 50,1 vehicle,7 years,sport,20000 to 29000,honda,urban,policy holder,no,no
71,collision,wednesday,1,jan,400,more than 30,2 to 4,no change,external,16,0,44,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
72,collision,thursday,1,jan,400,more than 30,1,no change,external,9,0,27,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,mazda,urban,policy holder,no,no
73,collision,monday,5,jan,400,more than 30,1,no change,external,5,0,28,female,31 to 35,1 vehicle,5 years,sedan,20000 to 29000,chevrolet,urban,third party,no,no
74,collision,tuesday,1,jan,400,more than 30,1,no change,external,7,0,47,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,honda,urban,third party,no,no
75,collision,tuesday,1,may,400,more than 30,more than 4,no change,external,12,0,60,male,51 to 65,1 vehicle,7 years,sedan,more than 69000,mazda,urban,third party,no,no
76,collision,wednesday,4,aug,400,more than 30,more than 4,no change,external,9,0,33,male,31 to 35,1 vehicle,6 years,sedan,30000 to 39000,ford,urban,third party,no,no
77,all perils,monday,1,jan,400,more than 30,none,no change,external,1,0,27,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,chevrolet,urban,third party,no,no
78,collision,tuesday,3,feb,400,more than 30,none,no change,external,12,0,47,female,41 to 50,1 vehicle,> 7 years,sport,more than 69000,honda,urban,third party,no,no
79,liability,tuesday,3,feb,400,more than 30,2 to 4,no change,external,16,0,29,female,31 to 35,1 vehicle,5 years,sport,30000 to 39000,jaguar,rural,policy holder,no,no
80,collision,friday,1,mar,400,more than 30,2 to 4,no change,external,10,0,33,female,31 to 35,1 vehicle,7 years,sedan,30000 to 39000,toyota,urban,third party,no,no
81,liability,wednesday,3,jan,400,more than 30,2 to 4,no change,external,13,0,38,male,36 to 40,1 vehicle,6 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
82,liability,friday,4,jan,400,more than 30,1,no change,external,6,0,37,male,36 to 40,1 vehicle,7 years,sport,20000 to 29000,mazda,urban,third party,no,no
83,all perils,thursday,3,apr,400,more than 30,none,no change,external,13,0,36,male,36 to 40,3 to 4,7 years,sedan,more than 69000,chevrolet,urban,third party,no,no
84,liability,friday,1,feb,400,more than 30,none,no change,external,9,0,44,female,36 to 40,1 vehicle,6 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
85,liability,monday,1,jan,400,more than 30,more than 4,4 to 8 years,external,6,0,39,male,16 to 17,2 vehicles,<= 1 year,sport,more than 69000,honda,urban,policy holder,no,no
86,liability,tuesday,1,mar,400,more than 30,1,no change,external,4,0,27,male,31 to 35,1 vehicle,6 years,utility,more than 69000,chevrolet,rural,policy holder,no,no
87,collision,wednesday,4,may,400,more than 30,1,no change,external,14,0,27,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
88,all perils,wednesday,4,may,400,more than 30,2 to 4,no change,external,1,0,39,male,36 to 40,1 vehicle,4 years,sedan,20000 to 29000,mazda,urban,third party,no,no
89,all perils,monday,5,oct,400,more than 30,none,no change,external,13,0,74,male,over 65,1 vehicle,7 years,sedan,30000 to 39000,pontiac,urban,third party,no,no
90,liability,monday,4,oct,400,more than 30,2 to 4,no change,external,8,0,23,male,26 to 30,1 vehicle,4 years,sport,20000 to 29000,honda,urban,policy holder,no,no
91,collision,tuesday,4,oct,400,more than 30,none,no change,external,2,0,25,female,26 to 30,1 vehicle,6 years,sport,more than 69000,honda,urban,third party,no,no
92,liability,wednesday,2,jan,400,more than 30,more than 4,1 year,external,13,0,38,male,36 to 40,1 vehicle,7 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
93,all perils,monday,4,jan,400,more than 30,2 to 4,no change,external,16,0,41,male,36 to 40,1 vehicle,7 years,sedan,30000 to 39000,honda,urban,policy holder,no,no
94,collision,monday,5,aug,700,more than 30,2 to 4,no change,external,13,0,38,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
95,collision,friday,3,jan,400,more than 30,none,no change,external,7,1,34,male,31 to 35,1 vehicle,7 years,sport,more than 69000,honda,urban,policy holder,no,no
96,collision,thursday,2,may,400,more than 30,none,no change,external,15,0,61,male,51 to 65,1 vehicle,> 7 years,sedan,30000 to 39000,honda,urban,third party,no,no
97,collision,tuesday,1,jan,400,more than 30,1,no change,external,7,1,38,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
98,all perils,monday,4,jan,400,more than 30,1,no change,external,4,0,40,male,36 to 40,1 vehicle,7 years,sedan,less than 20000,toyota,urban,policy holder,no,no
99,all perils,wednesday,4,jan,400,more than 30,2 to 4,no change,external,12,0,41,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,third party,no,no
100,all perils,monday,5,jan,400,more than 30,1,no change,external,10,0,36,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
101,all perils,wednesday,2,jan,400,more than 30,more than 4,no change,external,2,1,31,male,31 to 35,1 vehicle,7 years,utility,more than 69000,chevrolet,urban,policy holder,no,no
102,all perils,monday,5,jan,400,more than 30,1,no change,external,10,0,35,female,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,pontiac,urban,third party,no,no
103,all perils,monday,1,feb,500,more than 30,2 to 4,no change,external,14,0,37,female,36 to 40,1 vehicle,6 years,sedan,more than 69000,ford,urban,policy holder,no,yes
104,all perils,tuesday,2,jan,400,more than 30,none,no change,external,14,0,55,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,mazda,urban,policy holder,no,no
105,all perils,thursday,1,jan,400,more than 30,2 to 4,no change,external,12,0,31,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,third party,no,no
106,liability,friday,3,dec,400,more than 30,none,4 to 8 years,external,5,0,28,male,31 to 35,2 vehicles,7 years,sport,more than 69000,dodge,urban,policy holder,no,no
107,collision,thursday,1,aug,400,more than 30,2 to 4,no change,external,11,0,28,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,mazda,urban,policy holder,no,no
108,all perils,thursday,2,apr,400,more than 30,none,no change,external,11,0,44,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,third party,no,no
109,all perils,thursday,4,oct,400,more than 30,1,no change,external,1,0,47,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,chevrolet,urban,policy holder,no,no
110,liability,friday,1,mar,400,more than 30,none,no change,external,16,0,40,male,36 to 40,1 vehicle,6 years,sport,20000 to 29000,honda,urban,policy holder,no,no
111,collision,friday,1,sep,400,more than 30,2 to 4,no change,external,4,0,23,male,26 to 30,1 vehicle,5 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
112,all perils,thursday,2,may,400,more than 30,2 to 4,no change,external,6,0,31,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
113,all perils,thursday,5,dec,400,more than 30,none,no change,external,9,0,35,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,honda,urban,third party,no,no
114,all perils,tuesday,2,jan,400,more than 30,none,no change,external,10,1,56,male,51 to 65,1 vehicle,> 7 years,utility,more than 69000,acura,rural,policy holder,no,no
115,collision,wednesday,1,jan,400,more than 30,1,no change,external,2,0,50,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,chevrolet,urban,third party,no,no
116,collision,wednesday,2,jan,400,more than 30,2 to 4,no change,external,2,0,16,male,18 to 20,1 vehicle,4 years,sport,more than 69000,honda,urban,third party,no,no
117,collision,tuesday,5,nov,400,more than 30,1,no change,external,12,0,32,male,31 to 35,1 vehicle,7 years,sedan,30000 to 39000,pontiac,urban,third party,yes,no
118,liability,tuesday,5,aug,400,more than 30,2 to 4,no change,external,4,0,28,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
119,all perils,wednesday,1,dec,400,more than 30,2 to 4,no change,external,9,1,68,male,over 65,1 vehicle,5 years,sedan,20000 to 29000,mazda,urban,policy holder,no,no
120,all perils,friday,3,dec,400,more than 30,none,no change,external,7,1,39,male,16 to 17,1 vehicle,<= 1 year,sedan,more than 69000,honda,rural,policy holder,no,no
121,all perils,friday,3,mar,400,more than 30,none,no change,external,8,0,39,male,16 to 17,1 vehicle,<= 1 year,sedan,more than 69000,honda,rural,policy holder,no,no
122,collision,monday,3,oct,400,more than 30,none,no change,external,12,0,18,female,21 to 25,1 vehicle,2 years,sport,more than 69000,honda,rural,third party,no,no
123,collision,monday,3,jun,400,more than 30,more than 4,no change,external,2,0,30,male,31 to 35,1 vehicle,6 years,sedan,more than 69000,pontiac,urban,policy holder,no,no
124,collision,tuesday,4,apr,400,more than 30,more than 4,no change,external,1,0,51,male,41 to 50,3 to 4,> 7 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
125,all perils,monday,2,feb,400,more than 30,none,no change,external,6,0,22,male,26 to 30,1 vehicle,6 years,sedan,30000 to 39000,toyota,urban,third party,no,no
126,liability,monday,2,feb,400,more than 30,2 to 4,no change,external,16,0,26,female,31 to 35,1 vehicle,7 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
127,collision,monday,1,mar,400,more than 30,none,4 to 8 years,external,15,0,53,male,41 to 50,2 vehicles,> 7 years,sedan,30000 to 39000,dodge,urban,policy holder,no,yes
128,liability,tuesday,5,jan,400,more than 30,2 to 4,no change,external,13,0,38,male,36 to 40,1 vehicle,7 years,sport,30000 to 39000,mazda,urban,policy holder,no,no
129,liability,monday,4,jan,400,more than 30,more than 4,no change,external,9,0,27,male,31 to 35,1 vehicle,6 years,sport,30000 to 39000,chevrolet,rural,third party,yes,no
130,collision,tuesday,4,nov,400,more than 30,2 to 4,no change,external,14,0,29,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
131,collision,friday,2,jul,400,more than 30,more than 4,no change,external,10,0,32,male,31 to 35,1 vehicle,5 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
132,collision,friday,4,apr,400,more than 30,none,no change,external,14,0,18,male,21 to 25,1 vehicle,3 years,sedan,20000 to 29000,honda,urban,third party,no,no
133,collision,thursday,4,oct,400,more than 30,2 to 4,no change,external,6,0,60,male,51 to 65,1 vehicle,> 7 years,sedan,20000 to 29000,pontiac,urban,third party,no,no
134,collision,friday,3,oct,400,more than 30,none,no change,external,12,0,53,male,41 to 50,1 vehicle,> 7 years,sedan,more than 69000,ford,urban,policy holder,no,no
135,collision,friday,2,apr,400,more than 30,1,no change,external,16,0,29,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
136,collision,monday,2,mar,400,more than 30,1,no change,external,6,0,29,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
137,collision,tuesday,4,mar,400,more than 30,1,no change,external,9,0,41,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,third party,no,no
138,all perils,wednesday,1,mar,400,more than 30,none,no change,external,9,0,29,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
139,all perils,thursday,1,jan,400,more than 30,more than 4,no change,external,2,0,42,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,mercury,urban,policy holder,no,no
140,all perils,friday,1,feb,400,more than 30,none,no change,external,9,0,34,male,31 to 35,1 vehicle,7 years,sedan,less than 20000,toyota,urban,policy holder,no,no
141,collision,tuesday,3,jul,400,more than 30,1,no change,external,11,0,51,male,41 to 50,1 vehicle,> 7 years,sport,more than 69000,honda,urban,policy holder,no,no
142,all perils,tuesday,1,jul,400,more than 30,1,no change,external,3,0,32,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
143,liability,friday,1,mar,400,more than 30,none,no change,internal,10,0,52,male,41 to 50,5 to 8,> 7 years,sport,20000 to 29000,chevrolet,urban,policy holder,no,no
144,collision,friday,3,feb,400,more than 30,2 to 4,no change,external,8,0,61,male,51 to 65,1 vehicle,> 7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
145,liability,friday,4,feb,400,more than 30,2 to 4,no change,external,1,0,25,male,26 to 30,1 vehicle,5 years,sport,20000 to 29000,toyota,rural,third party,no,no
146,all perils,friday,1,nov,400,more than 30,none,no change,external,6,0,41,male,36 to 40,1 vehicle,7 years,sedan,30000 to 39000,mazda,urban,policy holder,no,no
147,liability,tuesday,3,sep,400,more than 30,none,no change,external,10,0,33,male,31 to 35,1 vehicle,6 years,sport,30000 to 39000,mazda,urban,third party,no,no
148,all perils,tuesday,3,may,400,more than 30,none,under 6 months,external,1,1,39,male,36 to 40,2 vehicles,> 7 years,sedan,30000 to 39000,toyota,rural,policy holder,no,no
149,collision,thursday,2,jun,400,more than 30,none,no change,external,13,0,30,male,31 to 35,1 vehicle,6 years,sedan,30000 to 39000,acura,urban,policy holder,no,no
150,collision,monday,4,may,400,more than 30,none,no change,external,15,0,50,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,mazda,urban,policy holder,no,no
151,collision,friday,2,jan,400,more than 30,2 to 4,no change,external,8,0,31,female,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,third party,no,no
152,liability,tuesday,2,jan,400,more than 30,more than 4,no change,external,8,0,23,male,26 to 30,1 vehicle,5 years,sport,30000 to 39000,pontiac,urban,policy holder,no,no
153,liability,friday,2,jan,400,more than 30,1,no change,external,10,0,31,male,31 to 35,1 vehicle,7 years,sport,30000 to 39000,pontiac,urban,third party,no,no
154,all perils,monday,1,oct,500,more than 30,2 to 4,2 to 3 years,external,2,0,50,male,41 to 50,1 vehicle,7 years,sedan,20000 to 29000,honda,urban,third party,no,no
155,liability,monday,5,jan,400,more than 30,2 to 4,no change,external,8,0,33,female,31 to 35,1 vehicle,6 years,sport,20000 to 29000,honda,urban,third party,no,no
156,liability,tuesday,1,feb,400,more than 30,more than 4,no change,external,6,0,30,male,31 to 35,1 vehicle,6 years,sport,30000 to 39000,acura,urban,policy holder,no,no
157,collision,thursday,1,feb,400,more than 30,more than 4,no change,external,13,0,44,male,36 to 40,1 vehicle,> 7 years,sedan,40000 to 59000,mazda,urban,policy holder,no,no
158,all perils,tuesday,4,feb,400,more than 30,1,no change,external,13,0,46,male,41 to 50,1 vehicle,7 years,sedan,more than 69000,chevrolet,urban,policy holder,no,no
159,liability,wednesday,1,feb,400,more than 30,2 to 4,no change,external,11,0,31,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,honda,urban,policy holder,no,no
160,liability,friday,5,jan,400,more than 30,2 to 4,no change,external,5,0,48,male,41 to 50,1 vehicle,> 7 years,sport,20000 to 29000,honda,urban,policy holder,no,no
161,all perils,friday,2,jan,400,more than 30,none,no change,external,12,1,33,male,31 to 35,1 vehicle,6 years,sedan,more than 69000,chevrolet,urban,policy holder,no,no
162,liability,wednesday,4,jan,400,more than 30,2 to 4,no change,external,3,0,39,male,16 to 17,1 vehicle,<= 1 year,sport,more than 69000,honda,urban,policy holder,no,no
163,liability,wednesday,4,jan,400,more than 30,1,no change,external,5,0,37,female,36 to 40,1 vehicle,7 years,sport,more than 69000,chevrolet,urban,third party,no,no
164,all perils,thursday,4,jan,400,more than 30,none,no change,external,3,0,43,male,36 to 40,1 vehicle,7 years,sedan,less than 20000,toyota,urban,third party,no,no
165,collision,monday,4,jan,400,more than 30,more than 4,no change,external,14,0,32,female,31 to 35,3 to 4,4 years,sedan,30000 to 39000,toyota,urban,third party,no,no
166,liability,thursday,2,jan,400,more than 30,2 to 4,no change,external,4,0,57,male,51 to 65,1 vehicle,> 7 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
167,all perils,monday,3,jan,400,more than 30,1,no change,external,8,0,65,male,51 to 65,1 vehicle,> 7 years,sedan,20000 to 29000,honda,urban,third party,no,no
